,营业收入(万元),营业成本(万元),营业利润(万元),利润总额(万元),所得税费用(万元),净利润(万元),基本每股收益,货币资金(万元),应收账款(万元),存货(万元),流动资产合计(万元),固定资产净额(万元),资产总计(万元),流动负债合计(万元),非流动负债合计(万元),负债合计(万元),所有者权益(或股东权益)合计(万元),期初现金及现金等价物余额(万元),经营活动产生的现金流量净额(万元),投资活动产生的现金流量净额(万元),筹资活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),期末现金及现金等价物余额(万元),营运资本(万元),波动比率,资产负债率,产权比率,预估全年净利润(动),预估全年净利润(静),预估全年净利润(TTM)
2021-12-31,10619015.0,898338.0,7475088.0,7452803.0,1880750.0,5572053.0,41.76,5181024.0,,3339437.0,22076569.0,1747217.0,25516820.0,5791422.0,29647.0,5821069.0,19695751.0,14674052.0,6402868.0,-556245.0,-2656414.0,3190006.0,17864059.0,16285147.0,3.8119427318541064,0.22812674149835316,0.2955494817130866,13627420.0,12316440.0,18579753.0
2021-09-30,7464220.0,657493.0,5302296.0,5285609.0,1328113.0,3957496.0,29.67,5070198.0,,3039211.0,19257723.0,,22470225.0,4344734.0,43997.0,4388731.0,18081494.0,14674052.0,3675230.0,-426610.0,-2652829.0,595674.0,15269726.0,14912989.0,4.432428544532293,0.19531317554675168,0.24271948988286077,,,
2021-06-30,4908728.0,423210.0,3507177.0,3505100.0,884432.0,2620668.0,19.63,5419772.0,,3065521.0,18185057.0,1702472.0,21286854.0,4487725.0,42719.0,4530445.0,16756409.0,14674052.0,2171947.0,-387159.0,-2640812.0,-856098.0,13817955.0,13697332.0,4.052177216741216,0.21282830238794365,0.2703708771968987,,,
2021-03-31,2727088.0,226995.0,1971406.0,1969488.0,492285.0,1477203.0,11.11,5074326.0,,2961372.0,18584959.0,,21521819.0,3232885.0,39957.0,3272842.0,18248977.0,14674052.0,-148489.0,-142359.0,-4156.0,-295073.0,14378980.0,15352074.0,5.748722580605235,0.15207088211270656,0.17934386130247235,,,
2020-12-31,9491538.0,815400.0,6663508.0,6619694.0,1667361.0,4952333.0,37.17,3609109.0,,2886909.0,18565215.0,1622508.0,21339581.0,4567367.0,146.0,4567513.0,16772068.0,12100384.0,5166907.0,-180523.0,-2412754.0,2573669.0,14674052.0,13997848.0,4.064752186544232,0.214039488404201,0.2723285524480349,,,
2020-09-30,6721494.0,583090.0,4798582.0,4787869.0,1202802.0,3585067.0,26.93,2707531.0,,2698046.0,15748929.0,,18457920.0,3040573.0,181.0,3040754.0,15417166.0,12100384.0,2511100.0,-131388.0,-2387831.0,-8089.0,12092295.0,12708356.0,5.179592464972871,0.16473979733361116,0.19723170912215696,,,
2020-06-30,4395280.0,375233.0,3208091.0,3197848.0,805094.0,2392755.0,17.99,2545240.0,,2629465.0,14483513.0,1487291.0,17219788.0,2960547.0,7452.0,2967999.0,14251789.0,12100384.0,1262096.0,-97304.0,-2373422.0,-1208603.0,10891781.0,11522966.0,4.892174655561949,0.172359787472413,0.2082544865069226,,,
2020-03-31,2440539.0,203244.0,1856062.0,1848150.0,461865.0,1386285.0,10.42,1968297.0,,2527205.0,15792487.0,,18162473.0,2581791.0,7200.0,2588991.0,15573482.0,12100384.0,230311.0,-42023.0,-45123.0,143165.0,12243549.0,13210696.0,6.116872744540495,0.14254617198880395,0.16624355426744053,,,
2019-12-31,8542957.0,743001.0,5904149.0,5878255.0,1481255.0,4397000.0,32.8,1325182.0,,2528492.0,15902447.0,1514418.0,18304237.0,4109330.0,7269.0,4116599.0,14187638.0,9824329.0,4521061.0,-316569.0,-1928440.0,2276055.0,12100384.0,11793117.0,3.8698393655413343,0.2248986942203604,0.29015393541898993,,,
2019-09-30,6093466.0,518588.0,4331231.0,4320591.0,1079361.0,3241230.0,24.24,11272886.0,,2375548.0,13994915.0,,16255041.0,3167942.0,4895.0,3172836.0,13082205.0,9824329.0,2731540.0,-204027.0,-1928815.0,598693.0,10423022.0,10826973.0,4.417667684572497,0.19519089493530087,0.2425306743014658,,,
